SampleID	PC1	PC2	PC3	PC4	total_c	no3	nh4	po4	mbc	mbn	mbp	ph	soil_depth
Sample2CEas	-0.237717339	0.0862618134	0.160756658	0.087991673	43.586	0.204	2.436	0.442	2145.995	194.252	1.232	3.63	10
Sample2CSea	-0.135889325	0.117958025	0.1620779885	0.044308406	35.337	0.277	1.458	0	1428.619	126.15	0.729	3.86	10
Sample2CWes1	-0.297194312	0.0545306167	0.0969565238	0.076710545	42.437	0	3.503	0.442	3711.727	319.887	1.232	3.63	10
Sample2CWes2	-0.317629559	0.0503815941	0.080379317	0.042264499	42.437	0	3.503	0.442	3711.727	319.887	1.232	3.63	10
Sample2CYes	-0.165369827	0.1328874789	0.1587928325	0.01344977	43.115	0.202	2.13	0	2263.267	207.357	2.025	3.77	10
Sample2CZeb	-0.119794537	0.1410848152	0.1555101243	0.01551816	37.931	0.957	2.162	0.334	1633.663	169.094	3.364	3.775	10
Sample2EOne	-0.23561087	0.0591236117	0.1522715197	0.072923122	46.855	0.449	3.885	0.57	2564.674	293.15	1.232	3.71	10
Sample3a10SS1	-0.316111951	0.0055511374	-0.017664748	0.045935029	44.045	0	6.737	9.709	4412.504	489.171	0.631	3.348	10
Sample3a10WPM	-0.288017224	0.0353786158	0.0964649909	0.105858082	45.373	0.565	1.666	2.617	4720.509	271.226	10.759	3.31	10
Sample3a5SS1	-0.337138116	-0.1203966156	-0.2187206234	-0.053852883	43.853	0.042	7.139	35.237	4935.673	534.658	156.43	3.405	5
Sample3a5WPM	-0.350415656	-0.124889803	-0.2170841363	-0.047811176	45.343	0.844	1.256	15.225	6977.526	319.496	120.586	3.515	5
Sample3AOne	0.276709351	0.1199940081	-0.0249432445	-0.094669334	1.181	0.508	0.179	2.891	11.839	1.496	0.818	5.75	20
Sample3ARem	0.140322172	0.1660780818	0.0144500143	-0.155143599	9.049	0.637	1.458	0.97	157.278	6.421	2.001	4.46	20
Sample3ATea	0.148713063	0.1786704894	0.0384283179	-0.135992175	3.251	0.192	0.333	1.965	53.096	3.809	0.755	4.96	20
Sample3AWes	0.014604504	0.1775390154	0.1065128874	-0.124393643	2.126	0.079	0.482	1.525	70.683	6.144	0.818	4.89	20
Sample3AYes	0.192805282	0.1614772248	-0.0062321816	-0.21600164	3.321	0	0.38	3.937	39.532	2.865	1.089	4.623	20
Sample3AZeb	0.287613757	0.121495491	-0.0037647222	-0.112923969	4.594	0.32	0.452	3.539	57.798	5.404	1.372	4.42	20
Sample3b10WPM	-0.334118223	-0.0168494783	-0.0311715696	0.054052394	44.094	0.477	1.472	4.074	5395.984	298.258	32.341	3.24	10
Sample3b5SS2	-0.366438266	-0.1085645335	-0.1988934784	-0.029224451	43.803	0	1.714	6.034	4812.309	354.671	80.74	3.41	5
Sample3b5WPM	-0.354116323	-0.0993651159	-0.2018937358	-0.063857266	44.749	0.663	1.774	10.539	5901.208	328.409	97.774	3.495	5
Sample3BEas	0.198691343	0.1412415619	0.0211317033	-0.183892091	1.613	0.269	0.481	1.525	70.622	5.912	0.818	5.37	20
Sample3BOne	0.154293551	0.1695015542	0.0526020991	-0.15751245	6.982	0.487	0.728	0.159	14.194	4.761	0.818	4.335	20
Sample3BRem	0.185542572	0.1232448579	-0.0312801306	-0.06064817	1.842	0.637	0.324	1.346	31.716	2.147	1.625	5.215	20
Sample3BSea	0.179275188	0.158339994	0.0077443899	-0.150394734	2.072	0.841	0.319	2.025	40.797	3.784	0.699	5.395	20
Sample3BTea	0.24983415	0.1195979897	0.0020042231	-0.064411399	3.408	0.493	0.514	2.407	60.592	3.548	1.116	4.96	20
Sample3BWes	0.137336668	0.1771653694	0.0329979799	-0.187353931	5.427	0	0.534	1.525	185.773	11.249	0.818	4.495	20
Sample3BXXX	0.22830628	0.1446785195	-0.0171378696	-0.21035934	4.718	0.237	0.543	2.127	17.209	2.654	0.284	4.58	20
Sample3CSea	0.314978803	0.1095500591	-0.0690885883	-0.12744066	0.827	0.156	0.134	5.729	20.074	1.577	0.502	6.02	20
Sample3CXXX	0.227755724	0.1518772447	-0.0195931662	-0.206561971	2.189	0.302	0.372	4.421	14.29	3.359	0.568	4.95	20
Sample3CYes	0.135043823	0.1643618295	0.050456936	-0.135057841	3.895	0.281	0.437	4.268	50.731	4.33	3.547	4.625	20
Sample3CZeb	0.130425093	0.1749374493	0.0210784748	-0.177549873	8.847	0.778	0.526	2.942	167.229	13.814	1.372	4.42	20
Sample4a10WPM	-0.264888171	0.0368679885	0.1194997989	0.123639088	42.287	0.249	1.815	2.135	3828.412	251.018	6.94	3.35	10
Sample4a5WPM	-0.365828935	-0.0889297608	-0.2000752933	-0.073422828	44.53	0.463	0.649	26.756	5620.877	334.723	174.731	3.32	5
Sample4AEas	0.315725954	0.0254139327	-0.0212455639	0.043276624	0.141	0.258	0.218	1.569	32.081	1.999	0.559	5.84	30
Sample4ARem	0.241291278	0.0966239387	-0.0514498586	-0.068979473	1.854	0.402	0.547	4.671	35.776	0	0	5.5	30
Sample4ASea	0.342253747	0.0873563443	-0.0622592814	-0.055073549	0.665	0.438	0.115	3.695	11.064	0.594	0	5.905	30
Sample4ATea	0.325589866	0.0362728638	-0.0675931226	0.047315671	1.153	0.296	0.22	8.884	22.835	0.837	0.856	5.93	30
Sample4AWes	0.297641247	0.0939862896	-0.0647420171	-0.099781359	0.869	0.29	0.244	1.569	18.619	1.651	0.559	5.74	30
Sample4AYes	0.316580954	0.064837336	-0.0881423528	-0.108007728	0.525	0.101	0.133	9.803	7.57	0.652	0	5.443	30
Sample4AZeb	0.313789239	0.0207429834	-0.0661072677	-0.041988905	0.728	0.233	0.143	10.162	8.325	0.636	0.531	5.255	30
Sample4BEas	0.263464555	0.0036834587	-0.0051302415	0.053561765	0.493	0.258	0.218	1.569	32.081	1.999	0.559	5.67	30
Sample4BRem	0.257576538	0.08902025	-0.0621134137	-0.056641557	1.134	0.193	0.216	4.362	3.761	0.816	1.52	5.63	30
Sample4BSea	0.377617862	0.0300934665	-0.1171772756	-0.040511045	0.662	0.265	0.064	20.858	18.092	1.117	0	6.107	30
Sample4BTea	0.283000149	0.0648284184	-0.0395503155	-0.029539192	1.452	0.182	0.158	10.835	45.481	1.656	2.761	5.93	30
Sample4BXXX	0.377498539	-0.0098951496	-0.1147298955	-0.004696438	0.306	0.021	0.105	10.535	2.719	0	0	5.817	30
Sample4BYes	0.355882697	0.0545400163	-0.1026237122	-0.029368982	0.355	0.182	0.104	8.733	4.83	0.544	1.729	5.755	30
Sample4CEas	0.199140723	0.0720392703	0.0383494338	-0.07443418	0.759	0.258	0.218	1.569	32.081	1.999	0.559	5.65	30
Sample4CWes	0.336329469	0.0799533471	-0.1017425473	-0.083547437	1.025	0.221	0.192	1.569	22.553	1.292	0.559	5.677	30
Sample4CXXX	0.351531288	0.0344493042	-0.1129907416	-0.013920728	0.37	0.151	0.115	13.253	2.607	0	0.926	5.795	30
Sample4CZeb	0.268982809	0.0997304702	-0.0617338635	-0.109107087	2.084	0.712	0.259	8.486	23.898	1.984	0	5.255	30
Sample4DEas	0.276418039	0.0910458321	-0.0482142099	-0.089330428	0.804	0.258	0.218	1.569	32.081	1.999	0.559	5.46	30
