SampleID	PC1	PC2	Depth	Frozen	total_c	no3	nh4	po4	mbc	mbn	mbp	ph	soil_depth
Sample3ATea	0.0268584865	-0.0384632524	20	1	3.251	0.192	0.333	1.965	53.096	3.809	0.755	4.96	20
Sample3AWes	0.1015790652	0.0179960664	20	1	2.126	0.079	0.482	1.525	70.683	6.144	0.818	4.89	20
Sample3AYes	0.0305023111	0.030549195	20	1	3.321	0	0.38	3.937	39.532	2.865	1.089	4.623	20
Sample3AZeb	-0.0674362406	-0.0502875661	20	1	4.594	0.32	0.452	3.539	57.798	5.404	1.372	4.42	20
Sample3b10WPM	0.0314621027	-0.0334144149	10	0	44.094	0.477	1.472	4.074	5395.984	298.258	32.341	3.24	10
Sample3b5SS2	-0.02568295	-0.0547003948	5	0	43.803	0	1.714	6.034	4812.309	354.671	80.74	3.41	5
Sample3b5WPM	0.0593718018	-0.0233397141	5	0	44.749	0.663	1.774	10.539	5901.208	328.409	97.774	3.495	5
Sample3BEas	-0.0131679408	-0.0051942894	20	1	1.613	0.269	0.481	1.525	70.622	5.912	0.818	5.37	20
Sample3BOne	0.0321836423	0.0167909038	20	1	6.982	0.487	0.728	0.159	14.194	4.761	0.818	4.335	20
Sample3BRem	0.0634147765	0.0039860107	20	1	1.842	0.637	0.324	1.346	31.716	2.147	1.625	5.215	20
Sample3BSea	0.0012357566	-0.0012843021	20	1	2.072	0.841	0.319	2.025	40.797	3.784	0.699	5.395	20
Sample3BTea	0.0105178543	-0.0599648527	20	1	3.408	0.493	0.514	2.407	60.592	3.548	1.116	4.96	20
Sample3BWes	0.0341225968	-0.0066084931	20	1	5.427	0	0.534	1.525	185.773	11.249	0.818	4.495	20
Sample3BXXX	-0.0471659626	-0.0050718703	20	1	4.718	0.237	0.543	2.127	17.209	2.654	0.284	4.58	20
Sample3CSea	-0.1544170177	0.00568141	20	1	0.827	0.156	0.134	5.729	20.074	1.577	0.502	6.02	20
Sample3CXXX	-0.0065752783	0.0707693723	20	1	2.189	0.302	0.372	4.421	14.29	3.359	0.568	4.95	20
Sample3CYes	0.0322994097	0.0480471584	20	1	3.895	0.281	0.437	4.268	50.731	4.33	3.547	4.625	20
Sample3CZeb	0.0644877427	0.0344448704	20	1	8.847	0.778	0.526	2.942	167.229	13.814	1.372	4.42	20
Sample4a10WPM	0.0124627435	-0.029913578	10	0	42.287	0.249	1.815	2.135	3828.412	251.018	6.94	3.35	10
Sample4a5WPM	0.0898065253	-0.0039735922	5	0	44.53	0.463	0.649	26.756	5620.877	334.723	174.731	3.32	5
Sample4AEas	-0.0394825458	-0.078354397	30	1	0.141	0.258	0.218	1.569	32.081	1.999	0.559	5.84	30
Sample4ARem	0.1223228526	-0.0175093651	30	1	1.854	0.402	0.547	4.671	35.776	0	0	5.5	30
Sample4ASea	-0.0541433695	0.035122876	30	1	0.665	0.438	0.115	3.695	11.064	0.594	0	5.905	30
Sample4ATea	0.0117052527	-0.0563296222	30	1	1.153	0.296	0.22	8.884	22.835	0.837	0.856	5.93	30
Sample4AWes	0.0126289927	-0.0070225352	30	1	0.869	0.29	0.244	1.569	18.619	1.651	0.559	5.74	30
Sample4AYes	-0.0438085368	0.0452976531	30	1	0.525	0.101	0.133	9.803	7.57	0.652	0	5.443	30
Sample4AZeb	-0.0007512935	0.0813247467	30	1	0.728	0.233	0.143	10.162	8.325	0.636	0.531	5.255	30
Sample4BEas	-0.0350686867	-0.1176084934	30	1	0.493	0.258	0.218	1.569	32.081	1.999	0.559	5.67	30
Sample4BRem	0.0286431286	-0.0231008251	30	1	1.134	0.193	0.216	4.362	3.761	0.816	1.52	5.63	30
Sample4BSea	-0.1153983313	0.1163219752	30	1	0.662	0.265	0.064	20.858	18.092	1.117	0	6.107	30
Sample4BTea	0.1054635756	-0.0505814979	30	1	1.452	0.182	0.158	10.835	45.481	1.656	2.761	5.93	30
Sample4BXXX	-0.105136489	-0.0113133462	30	1	0.306	0.021	0.105	10.535	2.719	0	0	5.817	30
Sample4BYes	-0.0758012572	0.003804207	30	1	0.355	0.182	0.104	8.733	4.83	0.544	1.729	5.755	30
Sample4CEas	0.0836621066	-0.1626618281	30	1	0.759	0.258	0.218	1.569	32.081	1.999	0.559	5.65	30
Sample4CWes	-0.072060454	0.0223511189	30	1	1.025	0.221	0.192	1.569	22.553	1.292	0.559	5.677	30
Sample4CXXX	-0.0838428726	-0.0125908117	30	1	0.37	0.151	0.115	13.253	2.607	0	0.926	5.795	30
Sample4CZeb	0.1169378767	0.0952265378	30	1	2.084	0.712	0.259	8.486	23.898	1.984	0	5.255	30
Sample4DEas	0.032475083	-0.0424259894	30	1	0.804	0.258	0.218	1.569	32.081	1.999	0.559	5.46	30
Sample4DOne	0.1258930014	0.0276401468	30	1	3.289	0.283	0.279	1.727	58.496	3.084	0.559	4.95	30
Sample4EOne	0.1900297407	0.1161659692	30	1	2.316	0.238	0.159	1.411	28.656	1.97	0.559	5.26	30
Sample5a10WPM	-0.0287720441	0.1886808098	10	0	16.756	0.524	0.881	1.698	556.6	39.185	5.885	4.015	10
Sample5a5WPM	-0.0234374197	-0.0416878453	5	0	42.72	0.868	2.029	11.013	5905.948	347.496	95.561	3.44	5
Sample5ARem	-0.0361323935	0.0038197872	40	1	0.461	0.363	0.764	13.784	1.098	0	0	5.86	40
Sample5ASea	-0.0777813175	-0.0361925432	40	1	0.118	0.465	0.13	12.806	5.811	0.424	0	6.08	40
Sample5ATea	-0.0312090181	0.0779336464	40	1	0.902	0.097	0.081	22.76	1.1	0.043	3.358	6.13	40
Sample5AXXX	-0.005864367	-0.0625820316	40	1	0.158	0.067	0.122	13.845	3.333	0.069	0	5.95	40
Sample5AZeb	-0.1318872541	0.0554526428	40	1	0.413	0.241	0.128	13.184	4.467	0.162	1.558	5.977	40
Sample5b5WPM	-0.0422406874	-0.0123144456	5	0	42.304	0.682	2.673	2.763	4386.847	274.034	19.302	3.49	5
Sample5BRem	-0.021224449	-0.0625038469	40	1	0.192	0.605	0.135	10.235	3.993	0.57	0	5.96	40
Sample5BSea	-0.0301836547	-0.0374838376	40	1	0.352	0.24	0.031	23.457	10.769	0.635	0	5.807	40
Sample5BTea	-0.0307197329	0.0386788429	40	1	0.405	0.354	0.228	16.609	4.554	0.334	0.672	6.13	40
Sample5BXXX	0.0240068612	-0.0563932109	40	1	0.493	0.295	0.131	8.664	2.4	0.362	0	6.06	40
Sample5BYes	0.0306898198	-0.0828508582	40	1	0.558	0.35	0.117	18.654	7.581	0.142	0.644	5.84	40
Sample5CYes	-0.0089641624	0.0181437751	40	1	0.722	0.018	0.144	13.558	5.885	0.147	7.145	5.59	40
Sample5CZeb	-0.1559767543	0.0537224803	40	1	0.132	0.474	0.125	11.202	3.136	0.087	0	5.977	40
Sample6ARem	-0.0748848316	0.1049827151	50	1	0.338	0.425	0.23	10.895	4.984	0	0	5.945	50
Sample6ASea	0.083094469	-0.009069644	50	1	0.164	0.195	0.085	16.273	6.252	0.525	1.492	5.915	50
Sample6ATea	0.023592376	-0.0423791659	50	1	0.433	0.127	0.056	27.935	4.03	0.387	1.133	6.003	50
Sample6BRem	-0.0585863246	0.050328445	50	1	0.691	0.458	0.133	35.649	6.67	0.493	3.861	5.87	50
Sample6BSea	0.0851539544	0.0468071354	50	1	0.13	0.138	0.112	12.832	4.676	0.251	0.57	6.21	50
Sample6BTea	-0.0166658781	-0.0396472389	50	1	0.351	0.269	0.123	20.717	5.322	0.331	1.411	6.003	50
SampleFiEas	0.0906209137	0.0211152878	40	0	0.551	0.189	0.202	3.35	38.226	4.01	1.558	5.94	40
SampleFiiEas	0.1166571246	0.0183895742	40	0	0.303	0.189	0.202	3.35	38.226	4.01	1.558	5.695	40
SampleFiiiRem	-0.1340974906	0.0533146666	60	0	0.199	0.042	0.934	25.903	3.638	0.2	0	6.037	60
SampleFiiiYes	-0.0183841839	-0.103354072	50	0	0.204	0	0.062	12.768	4.868	0.194	0.087	5.78	50
SampleFiiOne	0.0331449887	0.0587980763	40	0	1.12	0.21	0.122	0.783	7.855	0.974	1.558	5.9	40
SampleFiiWes	0.119905745	-0.0199711929	40	0	0.21	0	0.187	3.35	10.055	0.667	1.558	6.21	40
SampleFiOne	0.1411999504	0.0869993717	40	0	0.945	0.547	0.276	5.916	121.915	13.156	1.558	5.97	40
SampleFivSea	0.0913880239	0.0518507836	60	0	0.111	0.146	0.739	20.882	5.962	0.261	0	6.26	60
SampleFivTea	-0.1580494227	0.0343039557	60	0	0.363	0.034	0.743	32.37	7.146	0.233	0	6.207	60
SampleFiWes	-0.0262823001	-0.0750759633	40	0	0.269	0	0.223	3.35	13.08	1.244	1.558	5.76	40
SampleFiXXX	0.1276440815	0.0552653863	50	0	0.122	0.056	0.086	8.697	0.533	0.043	0	5.93	50
SampleFiYes	-0.0105258406	-0.0428577805	50	0	0.129	0.01	0.055	12.225	5.925	0.464	0.184	5.78	50
SampleFiZeb	-0.0827635216	0.0021887524	50	0	0.186	0.493	0.064	5.258	3.013	0.07	2.316	6.04	50
SampleFviiiXXX	0.046620662	-0.0240489238	50	0	0.381	0.099	0.143	8.504	2.414	0.125	1.614	6.11	50
SampleFviiSea	0.095546287	0.076827165	60	0	0.209	0.153	0.833	19.646	14.007	0.748	0	6.09	60
SampleFviZeb	-0.1042949627	0.001784391	50	0	0.204	0.131	0.064	5.258	3.013	0.07	2.316	6.04	50
SampleFvRem	0.1530959846	-0.0490847352	60	0	0.931	0.142	1.143	21.776	1.914	0	0	6.037	60
SampleFvTea	-0.0478833822	-0.1672118357	60	0	0.178	0.034	0.878	43.744	6.533	0.288	0	6.207	60
Samplep1bEJP	-0.0566075891	-0.1303009757	20	0	2.419	1.556	0.472	1.422	54.257	2.943	0.162	5.01	20
Samplep2aEJP	0.1001538859	-0.063888223	20	0	3.557	0.738	0.677	0.956	90.046	4.013	1.742	4.47	20
Samplep3cEJP	0.0722417424	-0.0769359222	20	0	2.365	0.603	0.787	0.092	15.514	1.195	1.526	5.04	20
