SampleID	PC1	PC2	total_c	no3	nh4	po4	mbc	mbn	mbp	ph	soil_depth
Sample3CZeb	-0.0334591153	0.042068373	8.847	0.778	0.526	2.942	167.229	13.814	1.372	4.42	20
Sample4a10WPM	-0.1723240853	-0.0004344097	42.287	0.249	1.815	2.135	3828.412	251.018	6.94	3.35	10
Sample4a5WPM	-0.2200752468	-0.0185449746	44.53	0.463	0.649	26.756	5620.877	334.723	174.731	3.32	5
Sample4AEas	0.14279623	0.0748580839	0.141	0.258	0.218	1.569	32.081	1.999	0.559	5.84	30
Sample4ARem	0.0789708014	0.0714545582	1.854	0.402	0.547	4.671	35.776	0	0	5.5	30
Sample4ASea	0.1860446678	0.118997367	0.665	0.438	0.115	3.695	11.064	0.594	0	5.905	30
Sample4ATea	0.1626245331	0.087573624	1.153	0.296	0.22	8.884	22.835	0.837	0.856	5.93	30
Sample4AWes	0.1300154539	0.0828272083	0.869	0.29	0.244	1.569	18.619	1.651	0.559	5.74	30
Sample4AYes	0.1825364399	0.0969801134	0.525	0.101	0.133	9.803	7.57	0.652	0	5.443	30
Sample4AZeb	0.2068709624	0.0955122836	0.728	0.233	0.143	10.162	8.325	0.636	0.531	5.255	30
Sample4BEas	0.1348072687	0.0345317965	0.493	0.258	0.218	1.569	32.081	1.999	0.559	5.67	30
Sample4BRem	0.1142079683	0.077963924	1.134	0.193	0.216	4.362	3.761	0.816	1.52	5.63	30
Sample4BSea	0.2383838358	0.1287928435	0.662	0.265	0.064	20.858	18.092	1.117	0	6.107	30
Sample4BTea	0.1384009274	0.092850734	1.452	0.182	0.158	10.835	45.481	1.656	2.761	5.93	30
Sample4BXXX	0.2236817118	0.07585074	0.306	0.021	0.105	10.535	2.719	0	0	5.817	30
Sample4BYes	0.2162367035	0.1094601698	0.355	0.182	0.104	8.733	4.83	0.544	1.729	5.755	30
Sample4CEas	0.0443268737	0.0069577859	0.759	0.258	0.218	1.569	32.081	1.999	0.559	5.65	30
Sample4CWes	0.1639019626	0.1216398651	1.025	0.221	0.192	1.569	22.553	1.292	0.559	5.677	30
Sample4CXXX	0.2131851896	0.1030853761	0.37	0.151	0.115	13.253	2.607	0	0.926	5.795	30
Sample4CZeb	0.1251436446	0.1274155865	2.084	0.712	0.259	8.486	23.898	1.984	0	5.255	30
Sample4DEas	0.1036077004	0.0776934022	0.804	0.258	0.218	1.569	32.081	1.999	0.559	5.46	30
Sample4DOne	0.0224036544	0.0825794762	3.289	0.283	0.279	1.727	58.496	3.084	0.559	4.95	30
Sample4EOne	0.035106631	0.100179991	2.316	0.238	0.159	1.411	28.656	1.97	0.559	5.26	30
Sample5a10WPM	-0.0037432844	0.0432581403	16.756	0.524	0.881	1.698	556.6	39.185	5.885	4.015	10
Sample5a5WPM	-0.1694836168	-0.0178163026	42.72	0.868	2.029	11.013	5905.948	347.496	95.561	3.44	5
Sample5ARem	0.2149549538	0.0467498049	0.461	0.363	0.764	13.784	1.098	0	0	5.86	40
Sample5ASea	0.25418555	0.0890079618	0.118	0.465	0.13	12.806	5.811	0.424	0	6.08	40
Sample5ATea	0.2411967749	0.0981871641	0.902	0.097	0.081	22.76	1.1	0.043	3.358	6.13	40
Sample5AXXX	0.2462690952	0.0650598688	0.158	0.067	0.122	13.845	3.333	0.069	0	5.95	40
Sample5AZeb	0.2846876591	0.0558930934	0.413	0.241	0.128	13.184	4.467	0.162	1.558	5.977	40
Sample5b5WPM	-0.1663297555	-0.0164388888	42.304	0.682	2.673	2.763	4386.847	274.034	19.302	3.49	5
Sample5BRem	0.218394382	0.0630471478	0.192	0.605	0.135	10.235	3.993	0.57	0	5.96	40
Sample5BSea	0.2352254289	0.0802331973	0.352	0.24	0.031	23.457	10.769	0.635	0	5.807	40
Sample5BTea	0.2292751364	0.0828902925	0.405	0.354	0.228	16.609	4.554	0.334	0.672	6.13	40
Sample5BXXX	0.2006119639	0.0956142147	0.493	0.295	0.131	8.664	2.4	0.362	0	6.06	40
Sample5BYes	0.2156295091	0.0997562308	0.558	0.35	0.117	18.654	7.581	0.142	0.644	5.84	40
Sample5CYes	0.2575159558	0.030220547	0.722	0.018	0.144	13.558	5.885	0.147	7.145	5.59	40
Sample5CZeb	0.2977713714	0.0731937713	0.132	0.474	0.125	11.202	3.136	0.087	0	5.977	40
Sample6ARem	0.2281614832	-0.0136672083	0.338	0.425	0.23	10.895	4.984	0	0	5.945	50
Sample6ASea	0.2899379452	0.04081569	0.164	0.195	0.085	16.273	6.252	0.525	1.492	5.915	50
Sample6ATea	0.2712481132	0.0542423809	0.433	0.127	0.056	27.935	4.03	0.387	1.133	6.003	50
Sample6BRem	0.2639594795	0.0015581119	0.691	0.458	0.133	35.649	6.67	0.493	3.861	5.87	50
Sample6BSea	0.2436041818	0.0512735287	0.13	0.138	0.112	12.832	4.676	0.251	0.57	6.21	50
Sample6BTea	0.2778955713	0.0211751552	0.351	0.269	0.123	20.717	5.322	0.331	1.411	6.003	50
SampleFiEas	0.1094292047	0.0798274493	0.551	0.189	0.202	3.35	38.226	4.01	1.558	5.94	40
SampleFiiEas	0.0608246326	0.0478856107	0.303	0.189	0.202	3.35	38.226	4.01	1.558	5.695	40
SampleFiiiRem	0.3052472551	-0.4764115678	0.199	0.042	0.934	25.903	3.638	0.2	0	6.037	60
SampleFiiiYes	0.3068164687	0.0071273057	0.204	0	0.062	12.768	4.868	0.194	0.087	5.78	50
SampleFiiOne	0.1667904954	0.0680074511	1.12	0.21	0.122	0.783	7.855	0.974	1.558	5.9	40
SampleFiiWes	0.08069333	0.0567645097	0.21	0	0.187	3.35	10.055	0.667	1.558	6.21	40
SampleFiOne	0.0827087812	0.0545903665	0.945	0.547	0.276	5.916	121.915	13.156	1.558	5.97	40
SampleFivSea	0.3333081014	-0.5422224638	0.111	0.146	0.739	20.882	5.962	0.261	0	6.26	60
SampleFivTea	0.3053383231	-0.4971795523	0.363	0.034	0.743	32.37	7.146	0.233	0	6.207	60
SampleFiWes	0.2598293943	0.0837544389	0.269	0	0.223	3.35	13.08	1.244	1.558	5.76	40
SampleFiXXX	0.199193275	0.0777522431	0.122	0.056	0.086	8.697	0.533	0.043	0	5.93	50
SampleFiYes	0.3210596681	0.0130427977	0.129	0.01	0.055	12.225	5.925	0.464	0.184	5.78	50
SampleFiZeb	0.2243227396	-0.0177826556	0.186	0.493	0.064	5.258	3.013	0.07	2.316	6.04	50
SampleFviiiXXX	0.3075162616	0.0418564176	0.381	0.099	0.143	8.504	2.414	0.125	1.614	6.11	50
SampleFviiSea	0.3240980091	-0.6209322626	0.209	0.153	0.833	19.646	14.007	0.748	0	6.09	60
SampleFviZeb	0.2390666322	-0.0354731723	0.204	0.131	0.064	5.258	3.013	0.07	2.316	6.04	50
SampleFvRem	0.3462778766	-0.5790400412	0.931	0.142	1.143	21.776	1.914	0	0	6.037	60
SampleFvTea	0.3386644423	-0.5445337731	0.178	0.034	0.878	43.744	6.533	0.288	0	6.207	60
Samplep1bEJP	0.1297323585	0.0769142376	2.419	1.556	0.472	1.422	54.257	2.943	0.162	5.01	20
Samplep2aEJP	-0.0206357249	0.0362365585	3.557	0.738	0.677	0.956	90.046	4.013	1.742	4.47	20
Samplep3cEJP	-0.0028115315	0.0498827528	2.365	0.603	0.787	0.092	15.514	1.195	1.526	5.04	20
