SampleName	PD	Chao1	ObservedOTUs	iteration	Depth
SampleFviZeb	69.76542	846.451219512	558	2	50
SampleFvRem	55.83039	678.482142857	394	2	60
SampleFvTea	49.43742	516.018181818	354	2	60
Samplep1bEJP	65.32277	1122.11363636	636	2	20
Samplep2aEJP	64.44479	1033.22330097	654	2	20
Samplep3cEJP	62.30038	977.09375	596	2	20
Sample1a10EJP	53.53576	933.296703297	594	3	10
Sample1a10LJP	60.55811	1008.56818182	623	3	10
Sample1a10SS2	51.27949	860.957894737	574	3	10
Sample1a20LJP	67.94412	1105.31914894	625	3	20
Sample1a30LJP	66.98572	1028.65957447	622	3	30
Sample1a5EJP	53.78167	963.535714286	593	3	5
Sample1a5LJP	54.68803	927.081395349	588	3	5
Sample1a5SS1	52.31115	1124.22727273	574	3	5
Sample1a5SS2	49.08334	924.037037037	567	3	5
Sample1AOne	57.67632	1126.07291667	662	3	5
Sample1ARem	50.34942	1000.75	558	3	5
Sample1ASea	51.85189	895.183908046	560	3	5
Sample1ATea	58.13478	1111.89534884	638	3	5
Sample1AWes	52.53494	1063.03846154	594	3	5
Sample1AXXX	51.79553	995.014285714	561	3	5
Sample1AYes	48.85741	869.692307692	535	3	5
Sample1b10EJP	58.75383	1082.32978723	621	3	10
Sample1b10SS1	51.80093	881.6	547	3	10
Sample1b10SS2	53.17398	953.534883721	574	3	10
Sample1b20LJP	59.47018	879.206896552	530	3	20
Sample1b5EJP	54.84207	1069.03896104	569	3	5
Sample1b5LJP	53.14593	944.825581395	580	3	5
Sample1b5SS1	58.81697	1050.95789474	663	3	5
Sample1b5SS2	55.71743	930.521276596	586	3	5
Sample1BEas	54.00335	1045.69230769	587	3	5
Sample1BRem	56.46049	948.611650485	609	3	5
Sample1BSea	56.86512	1089	660	3	5
Sample1BTea	50.26835	932.43373494	584	3	5
Sample1BXXX	53.28678	1051.16393443	545	3	5
Sample1BYes	61.55594	1143.09375	657	3	5
Sample1BZeb	51.31979	918.647058824	567	3	5
Sample1CSea	55.43255	918.990566038	623	3	5
Sample1CZeb	48.96493	903.450549451	583	3	5
Sample1EOne	51.93457	878.172043011	580	3	5
Sample2a10EJP	56.91702	1034.03	635	3	10
Sample2a10LJP	55.76969	1144.6	628	3	10
Sample2a10SS1	56.89688	1020.77659574	643	3	10
Sample2a10SS2	58.97161	1016.61363636	607	3	10
Sample2a10WPM	47.02441	808.647058824	538	3	10
Sample2a20LJP	68.70539	1090.02884615	653	3	20
Sample2a30LJP	58.87967	898.086956522	503	3	30
Sample2a5EJP	45.95716	994.355932203	496	3	5
