id,label,timeset,abundance,componentnumber,component
155,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__; g__; s__,,12305,0,
717,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__,,12034,2,
5898,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__,,11777,2,
409,k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__; s__,,11733,2,
177,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria,,11699,2,
256,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Ellin329; f__; g__; s__,,11604,2,
117,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__,,11570,0,
616,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__H39; f__; g__; s__,,11359,0,
374,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__,,10923,2,
425,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,,10725,2,
145,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae,,10534,0,
6243,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__,,10433,2,
99,k__Bacteria; p__Chloroflexi; c__TK10; o__B07_WMSP1; f__FFCH4570; g__; s__,,10261,0,
307,k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__; g__; s__,,10255,2,
712,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__; s__,,10031,2,
5833,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__,,10023,2,
6156,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__; s__,,9835,2,
173,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__,,9644,2,
674,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__,,9456,2,
207,k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__Candidatus Xiphinematobacter; s__,,9413,2,
5760,k__Bacteria; p__AD3; c__ABS-6; o__; f__; g__; s__,,9405,0,
140,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,,9403,2,
6159,k__Bacteria,,9270,3,
105,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,,9241,0,
127,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__,,9174,0,
234,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__,,9033,5,
676,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria,,9009,2,
112,k__Bacteria; p__Acidobacteria; c__EC1113; o__; f__; g__; s__,,8812,0,
104,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__oc28; g__; s__,,8749,0,
181,k__Bacteria; p__Acidobacteria; c__Acidobacteria-5; o__; f__; g__; s__,,8712,5,
334,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,,8669,2,
123,k__Bacteria,,8608,0,
313,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__,,8598,2,
169,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__,,8458,0,
194,k__Bacteria; p__Acidobacteria; c__EC1113; o__; f__; g__; s__,,8276,0,
171,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__,,8140,0,
121,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__H39; f__; g__; s__,,8079,0,
113,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales,,7844,0,
420,k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__; g__; s__,,7679,2,
164,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__,,7678,2,
133,k__Bacteria; p__Chloroflexi,,7622,0,
128,k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__B12-WMSP1; f__; g__; s__,,7585,0,
2893,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__,,7567,2,
291,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__celatum,,7317,2,
5314,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__,,7312,2,
188,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__,,7173,2,
150,k__Bacteria; p__WPS-2; c__; o__; f__; g__; s__,,7172,2,
6010,k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__,,7156,2,
237,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__,,7134,0,
175,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__,,7130,0,
196,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__,,7115,0,
6139,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__,,7105,2,
