id,label,timeset,abundance,componentnumber,component
3663,k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__,,4502,2,
3160,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__; s__,,4496,0,
3560,k__Bacteria; p__AD3; c__ABS-6; o__; f__; g__; s__,,4490,0,
352,k__Bacteria; p__Chlorobi; c__; o__; f__; g__; s__,,4473,0,
350,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SHA-20; f__; g__; s__,,4457,0,
1010,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__,,4433,2,
211,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__; s__,,4379,10,
205,k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__auto67_4W; g__; s__,,4349,0,
6764,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__,,4316,2,
713,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__,,4134,2,
477,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__,,4069,2,
385,k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales],,4062,0,
224,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__A21b; f__EB1003; g__; s__,,4005,0,
202,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__,,3689,2,
357,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales,,3499,2,
210,k__Bacteria; p__AD3; c__ABS-6; o__; f__; g__; s__,,3495,0,
1084,k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__RB41; f__; g__; s__,,3450,0,
698,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae,,3378,2,
241,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__; s__,,3286,0,
289,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__,,3187,0,
240,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__,,2981,0,
6084,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__; s__,,2850,2,
316,k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales],,2577,0,
274,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria,,2562,0,
380,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,,2543,0,
4954,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales,,2494,2,
6574,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,,2388,0,
332,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,,2377,0,
280,k__Bacteria; p__Acidobacteria; c__iii1-8; o__DS-18; f__; g__; s__,,2267,0,
371,k__Bacteria,,2251,0,
582,k__Bacteria; p__Armatimonadetes; c__[Fimbriimonadia]; o__[Fimbriimonadales]; f__[Fimbriimonadaceae]; g__Fimbriimonas; s__,,2231,2,
5547,k__Bacteria; p__AD3; c__ABS-6; o__; f__; g__; s__,,1608,0,
597,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__; s__,,1546,0,
561,k__Bacteria; p__Chloroflexi; c__SHA-26; o__; f__; g__; s__,,1266,0,
